endpoint,n1,n2,n3,n4,support_size,equations,forced_equal_block,disposition
B,1,3,2,2,4,0,0,opposite_pair_gives_length_at_most_14
B,1,3,3,1,4,0,0,opposite_pair_gives_length_at_most_14
B,1,3,4,0,3,0,0,opposite_pair_gives_length_at_most_14
B,1,4,0,3,3,0,0,opposite_pair_gives_length_at_most_14
B,1,4,1,2,4,0,0,opposite_pair_gives_length_at_most_14
B,1,4,2,1,4,0,0,opposite_pair_gives_length_at_most_14
B,1,4,3,0,3,0,0,opposite_pair_gives_length_at_most_14
B,1,5,0,2,3,0,0,opposite_pair_gives_length_at_most_14
B,1,5,1,1,4,0,0,opposite_pair_gives_length_at_most_14
B,1,5,2,0,3,0,0,opposite_pair_gives_length_at_most_14
B,1,6,0,1,3,0,0,opposite_pair_gives_length_at_most_14
B,1,6,1,0,3,0,0,opposite_pair_gives_length_at_most_14
B,1,7,0,0,2,42,0,inconsistent_with_C_nonzero
B,2,0,0,6,2,0,0,opposite_pair_gives_length_at_most_14
B,2,0,1,5,3,0,0,opposite_pair_gives_length_at_most_14
B,2,0,2,4,3,0,0,opposite_pair_gives_length_at_most_14
B,2,0,3,3,3,0,0,opposite_pair_gives_length_at_most_14
B,2,0,4,2,3,0,0,opposite_pair_gives_length_at_most_14
B,2,0,5,1,3,0,0,opposite_pair_gives_length_at_most_14
B,2,0,6,0,2,52,0,inconsistent_with_C_nonzero
B,2,1,0,5,3,0,0,opposite_pair_gives_length_at_most_14
B,2,1,1,4,4,0,0,opposite_pair_gives_length_at_most_14
B,2,1,2,3,4,0,0,opposite_pair_gives_length_at_most_14
B,2,1,3,2,4,0,0,opposite_pair_gives_length_at_most_14
B,2,1,4,1,4,0,0,opposite_pair_gives_length_at_most_14
B,2,1,5,0,3,0,0,opposite_pair_gives_length_at_most_14
B,2,2,0,4,3,0,0,opposite_pair_gives_length_at_most_14
B,2,2,1,3,4,0,0,opposite_pair_gives_length_at_most_14
B,2,2,2,2,4,0,0,opposite_pair_gives_length_at_most_14
B,2,2,3,1,4,0,0,opposite_pair_gives_length_at_most_14
B,2,2,4,0,3,0,0,opposite_pair_gives_length_at_most_14
B,2,3,0,3,3,0,0,opposite_pair_gives_length_at_most_14
B,2,3,1,2,4,0,0,opposite_pair_gives_length_at_most_14
B,2,3,2,1,4,0,0,opposite_pair_gives_length_at_most_14
B,2,3,3,0,3,0,0,opposite_pair_gives_length_at_most_14
